isbn;language_code;average_rating;description;Authors;num_pages;publication_year;title;genre
1592912729;eng;4,15;PRODUCT DESCRIPTION: The first new volume of Garth Ennis powerful War Stories series features tales ripped from the pages of history itself delivering a horrifying and riveting look at some of the most brutal battles throughout time. This essential tome includes three stories of battle written by Ennis and illustrated by Tomas Aira including: Castles in the Sky: A horrifying tale of early bomber pilots and their incredibly difficult missions during wartime. Thrust into the sky with a new team of soldiers these brave men learn quickly the horrors of aerial combat over the skies of Germany. Children of Israel: In 1973, the Golan Heights was the home to the most brutal tank warfare in history. As a young nation of Israel faced the imposing forces of the Syrian army, the true mettle of these soldiers would be tested as never before. The Last German Winter: February 1945: as the Soviet war machine crashes into eastern Germany on a tidal wave of carnage and revenge, a mother and her children join the flood of refugees struggling to stay ahead of the invaders. But the realities of battle are dreadful to behold, and what the little family find waiting for them is deadlier than any mythical dragon. Worse still, the strange figures who appear from the deep woods are far from being knights in shining armour- and in these dark times, the price of salvation may just be too much to bear. This volume collects War Stories #1 - 9 of the ongoing comic book series.;Garth Ennis, Tomas Aira, Keith Burns, Matt Martin;224;2016;War Stories, Volume 3;comics & graphic
1606902172;eng;3,16;Sir Arthur Conan Doyle's dauntless detective returns in an all-new series of adventures exploring the sleuth's untold origins! Join Dr. John Watson as he meets young Sherlock Holmes in a fateful encounter that will forever shape both men's destinies! Mysteries and murders most foul abound as we discover clues that reveal just how Holmes became the world's most famous detective.Collecting the 6-issue series in one volume, plus bonus material and a complete cover gallery.;Scott Beatty, Daniel Indro;144;2011;Sherlock Holmes: Year One;comics & graphic
1421535386;eng;4,41;This is the story of a group of boys who try to save the world! As boys, Kenji and his friends came up with a bunch of stories about an evil organization bent on world destruction. As adults, someone is now turning their fantasies into reality!Reads R to L (Japanese Style), for audiences T+.Humanity, having faced extinction at the end of the 20th century, would not have entered the new millennium if it weren't for them. In 1969, during their youth, they created a symbol. In 1997, as the coming disaster slowly starts to unfold, that symbol returns. This is the story of a group of boys who try to save the world.There once was a hero who stood against evil. He sacrificed himself to save the world, and everyone believed he died on Bloody New Year's Eve. But eighteen years later, when the entire world is under the control of the enigmatic figure known as the Friend, the hero comes back! Kenji is back and is heading for Tokyo, where the Friend is preparing his next horrific plan. Meanwhile, Kanna and the rest of Kenji's group make their move toward the final battle! Could it finally be time for justice to rise once again?;Naoki Urasawa;200;2012;Naoki Urasawa's 20th Century Boys, Volume 20 (20th Century Boys, #20);comics & graphic
316197289;eng;4,5;A century before, in Sablier, a forbidden portal was flung wide by a boy, Vincent, in his single-minded desire to protect his brother, Gilbert. And thus did that foolhardy desire lead to the corruption of that innocent boy's soul like a sweet poison... Now, as Gil, Oz, and Alice wander the ruins of the former capital, they are assaulted by illusions from the past. But how much of it is real? And how much of it illusion?;Jun Mochizuki, Tomo Kimura;192;2012;Pandora Hearts, Volume 10;comics & graphic
1846535859;eng;3,58;The X-Men are shaken to the core by the Battle of the Atom. Kitty Pryde is particularly shaken by the events of the X-Men crossover. With her students gone, what is Kitty to do?COLLECTING: All-New X-Men #18-21, A+X #18 (Bendis story), material from X-Men: Battle of the Atom #2;Brian Michael Bendis, Stuart Immonen, Brandon Peterson;116;2014;All-New X-Men, Vol. 4: All-Different;comics & graphic
785165487;eng;3,75;The ragin' Cajun X-Man's solo adventures continue!Receiving a distress call from an imperiled ESU archaeology team, Gambit makes a detour on his way back to the Big Apple and heads to the Forever City! But how exactly will he outwit the hyper-evolved locals and snatch the students (and some loot) from their clutches?Plus: Gambit is hot on the heels of the lady thief who first crossed his path in the series' first issue! But what secret is she hiding that may just spell doom for our hero? And how will he manage to steal her away from the horde of super villains that she's surrounded herself with?Collecting: Gambit8-12;James Asmus, Pasqual Ferry, Clay Mann;120;2013;Gambit, Volume 2: Tombstone Blues;comics & graphic
785165037;eng;4,1;The Daily Bugle is on the hunt to find out everything they can about the new Spider-Man...but what they discover will surprise them, you - and him!Then: Venom Wars begins! Miles Morales finally has his costume, his web-shooters, and now he has his first A-list Spider-Man villain...there's a new Venom in town, and he's hungry! But who exactly is the new Venom, and what is his terrible connection to Miles' father? All this, plus Miles' new girlfriend, and the return of award-winning artist Sara Pichelli!Collecting: Ultimate Comics: Spider-Man16.1, 19-22;Brian Michael Bendis, David Marquez, Sara Pichelli;112;2013;Ultimate Comics: Spider-Man, by Brian Michael Bendis, Volume 4;comics & graphic
785165223;eng;3,85;Tony Stark has always been obsessed with the future. Whether starting his first company, designing the Mark I Iron Man armor or launching Stark Resilient, his optimism has always been guided by the question, What comes next? Six months after quitting Resilient, he's found the answer. The sanctity of his mind violated by the Mandarin, he is a man beaten down to his knees, a prisoner within his own body, an indentured servant to an insane cause known only to his captor. For Tony Stark, this is the future - and there's no way out. COLLECTING: Invincible Iron Man 521-527;Matt Fraction, Salvador Larroca;152;2013;The Invincible Iron Man, Vol. 11: The Future;comics & graphic
785165304;eng;3,55;Even gods may fall! Five X-Men - Cyclops, Emma Frost, Namor, Colossus and Magik - have been imbued with the cosmic Phoenix Force, becoming living avatars of destruction and creation. They have transformed Earth into a Utopia - but deep underground, Hell awaits.Mr. Sinister, mutant geneticist and longtime X-Men foe, has created an entire city and populated it with his own clones. The Phoenix Five set out to exterminate Sinister, but even the Phoenix Force's power can't prevent them from walking into a trap.As Cyclops and his team investigate Sinister London, they have no idea they'll soon be facing weaponized X-Men clones, forgotten faces from their past and - for the first time since they bonded with the Phoenix - the very real threat of total defeat and death.COLLECTING: Uncanny X-Men #15-20;Kieron Gillen, Daniel Acuna, Ron Garney, Dale Eaglesham, Carlos Pacheco;136;2013;Uncanny X-Men by Kieron Gillen, Vol. 4;comics & graphic
785161864;eng;4,14;X-Force exists to tackle the problems that ordinary X-Men can't or won't confront - with extreme prejudice. But as the killing begins to take its toll, a less existential crisis faces the team: a new Brotherhood of Evil Mutants - led by Wolverine's twisted son, Daken, and specifically designed to dismantle X-Force...and then to kidnap Genesis, the young clone of Apocalypse, from Wolverine's Jean Grey School and fulfill his destiny to rise as a mutant despot!COLLECTING: Uncanny X-Force 30-35, material from UNCANNY X-FORCE 25;Rick Remender, David Williams, Phil Noto, Jerome Opena;160;2013;Uncanny X-Force, Vol. 7: Final Execution - Book 2;comics & graphic
